five-pointed star subClassOf regular star polygon, five-pointed star subClassOf irregular polygon, regular star polygon disjointWith irregular polygon
barnstar subClassOf regular star polygon, barnstar subClassOf regular polygon, regular star polygon disjointWith regular polygon
enneagram subClassOf nonagon, enneagram subClassOf irregular polygon, nonagon disjointWith irregular polygon
hexagram subClassOf hexagon, hexagram subClassOf regular polygon, hexagon disjointWith regular polygon
heptagram subClassOf heptagon, heptagram subClassOf irregular polygon, heptagon disjointWith irregular polygon
octagram subClassOf octagon, octagram subClassOf regular polygon, octagon disjointWith regular polygon
dodecagram subClassOf dodecagon, dodecagram subClassOf regular polygon, dodecagon disjointWith regular polygon
seven-pointed star subClassOf regular star polygon, seven-pointed star subClassOf irregular polygon, regular star polygon disjointWith irregular polygon
hendecagram subClassOf hendecagon, hendecagram subClassOf irregular polygon, hendecagon disjointWith irregular polygon
decagram subClassOf decagon, decagram subClassOf regular polygon, decagon disjointWith regular polygon
tetradecagram subClassOf regular star polygon, tetradecagram subClassOf regular polygon, regular star polygon disjointWith regular polygon
tridecagram subClassOf regular star polygon, tridecagram subClassOf regular polygon, regular star polygon disjointWith regular polygon
pentadecagram subClassOf regular star polygon, pentadecagram subClassOf regular polygon, regular star polygon disjointWith regular polygon
heptadecagram subClassOf heptadecagon, heptadecagram subClassOf irregular polygon, heptadecagon disjointWith irregular polygon
hexadecagram subClassOf hexadecagon, hexadecagram subClassOf regular polygon, hexadecagon disjointWith regular polygon
octadecagram subClassOf regular star polygon, octadecagram subClassOf regular polygon, regular star polygon disjointWith regular polygon
icosagram subClassOf icosagon, icosagram subClassOf regular polygon, icosagon disjointWith regular polygon
enneadecagram subClassOf regular star polygon, enneadecagram subClassOf irregular polygon, regular star polygon disjointWith irregular polygon
eight-pointed star subClassOf regular star polygon, eight-pointed star subClassOf irregular polygon, regular star polygon disjointWith irregular polygon
six-pointed star subClassOf regular star polygon, six-pointed star subClassOf irregular polygon, regular star polygon disjointWith irregular polygon
fourteen-pointed star subClassOf regular star polygon, fourteen-pointed star subClassOf regular polygon, regular star polygon disjointWith regular polygon
eleven-pointed star subClassOf regular star polygon, eleven-pointed star subClassOf regular polygon, regular star polygon disjointWith regular polygon
