honorary citizen of Gera subClassOf award winner, honorary citizen of Gera subClassOf award, award winner disjointWith award
red star subClassOf concave polygon, red star subClassOf convex polygon, concave polygon disjointWith convex polygon
Druze star subClassOf concave polygon, Druze star subClassOf convex polygon, concave polygon disjointWith convex polygon
{9/2} enneagram subClassOf concave polygon, {9/2} enneagram subClassOf convex polygon, concave polygon disjointWith convex polygon
{9/4} enneagram subClassOf concave polygon, {9/4} enneagram subClassOf convex polygon, concave polygon disjointWith convex polygon
{11/3} hendecagram subClassOf concave polygon, {11/3} hendecagram subClassOf convex polygon, concave polygon disjointWith convex polygon
{11/2} hendecagram subClassOf concave polygon, {11/2} hendecagram subClassOf convex polygon, concave polygon disjointWith convex polygon
{11/5} hendecagram subClassOf concave polygon, {11/5} hendecagram subClassOf convex polygon, concave polygon disjointWith convex polygon
{11/4} hendecagram subClassOf concave polygon, {11/4} hendecagram subClassOf convex polygon, concave polygon disjointWith convex polygon
{14/3} tetradecagram subClassOf concave polygon, {14/3} tetradecagram subClassOf convex polygon, concave polygon disjointWith convex polygon
{14/5} tetradecagram subClassOf concave polygon, {14/5} tetradecagram subClassOf convex polygon, concave polygon disjointWith convex polygon
Black Star of Africa subClassOf concave polygon, Black Star of Africa subClassOf convex polygon, concave polygon disjointWith convex polygon
unicursal hexagram subClassOf concave polygon, unicursal hexagram subClassOf convex polygon, concave polygon disjointWith convex polygon
{7/2} heptagram subClassOf concave polygon, {7/2} heptagram subClassOf convex polygon, concave polygon disjointWith convex polygon
{7/3} heptagram subClassOf concave polygon, {7/3} heptagram subClassOf convex polygon, concave polygon disjointWith convex polygon
regular star polygon subClassOf irregular polygon, regular star polygon subClassOf regular polygon, irregular polygon disjointWith regular polygon
pentagram subClassOf irregular polygon, pentagram subClassOf regular polygon, irregular polygon disjointWith regular polygon
five-pointed star subClassOf irregular polygon, five-pointed star subClassOf regular polygon, irregular polygon disjointWith regular polygon
barnstar subClassOf irregular polygon, barnstar subClassOf regular polygon, irregular polygon disjointWith regular polygon
enneagram subClassOf irregular polygon, enneagram subClassOf regular polygon, irregular polygon disjointWith regular polygon
hexagram subClassOf irregular polygon, hexagram subClassOf regular polygon, irregular polygon disjointWith regular polygon
heptagram subClassOf irregular polygon, heptagram subClassOf regular polygon, irregular polygon disjointWith regular polygon
octagram subClassOf irregular polygon, octagram subClassOf regular polygon, irregular polygon disjointWith regular polygon
dodecagram subClassOf irregular polygon, dodecagram subClassOf regular polygon, irregular polygon disjointWith regular polygon
seven-pointed star subClassOf irregular polygon, seven-pointed star subClassOf regular polygon, irregular polygon disjointWith regular polygon
hendecagram subClassOf irregular polygon, hendecagram subClassOf regular polygon, irregular polygon disjointWith regular polygon
decagram subClassOf irregular polygon, decagram subClassOf regular polygon, irregular polygon disjointWith regular polygon
tetradecagram subClassOf irregular polygon, tetradecagram subClassOf regular polygon, irregular polygon disjointWith regular polygon
tridecagram subClassOf irregular polygon, tridecagram subClassOf regular polygon, irregular polygon disjointWith regular polygon
pentadecagram subClassOf irregular polygon, pentadecagram subClassOf regular polygon, irregular polygon disjointWith regular polygon
heptadecagram subClassOf irregular polygon, heptadecagram subClassOf regular polygon, irregular polygon disjointWith regular polygon
hexadecagram subClassOf irregular polygon, hexadecagram subClassOf regular polygon, irregular polygon disjointWith regular polygon
octadecagram subClassOf irregular polygon, octadecagram subClassOf regular polygon, irregular polygon disjointWith regular polygon
icosagram subClassOf irregular polygon, icosagram subClassOf regular polygon, irregular polygon disjointWith regular polygon
enneadecagram subClassOf irregular polygon, enneadecagram subClassOf regular polygon, irregular polygon disjointWith regular polygon
eight-pointed star subClassOf irregular polygon, eight-pointed star subClassOf regular polygon, irregular polygon disjointWith regular polygon
six-pointed star subClassOf irregular polygon, six-pointed star subClassOf regular polygon, irregular polygon disjointWith regular polygon
fourteen-pointed star subClassOf irregular polygon, fourteen-pointed star subClassOf regular polygon, irregular polygon disjointWith regular polygon
eleven-pointed star subClassOf irregular polygon, eleven-pointed star subClassOf regular polygon, irregular polygon disjointWith regular polygon
twenty four-pointed star subClassOf irregular polygon, twenty four-pointed star subClassOf regular polygon, irregular polygon disjointWith regular polygon
four-pointed star subClassOf irregular polygon, four-pointed star subClassOf regular polygon, irregular polygon disjointWith regular polygon
square star subClassOf irregular polygon, square star subClassOf regular polygon, irregular polygon disjointWith regular polygon
henicosagram subClassOf irregular polygon, henicosagram subClassOf regular polygon, irregular polygon disjointWith regular polygon
twenty one-pointed star subClassOf irregular polygon, twenty one-pointed star subClassOf regular polygon, irregular polygon disjointWith regular polygon
nine-pointed star subClassOf irregular polygon, nine-pointed star subClassOf regular polygon, irregular polygon disjointWith regular polygon
red star subClassOf irregular polygon, red star subClassOf regular polygon, irregular polygon disjointWith regular polygon
unicursal hexagram subClassOf irregular polygon, unicursal hexagram subClassOf regular polygon, irregular polygon disjointWith regular polygon
{7/2} heptagram subClassOf irregular polygon, {7/2} heptagram subClassOf regular polygon, irregular polygon disjointWith regular polygon
{7/3} heptagram subClassOf irregular polygon, {7/3} heptagram subClassOf regular polygon, irregular polygon disjointWith regular polygon
{9/2} enneagram subClassOf irregular polygon, {9/2} enneagram subClassOf regular polygon, irregular polygon disjointWith regular polygon
{9/4} enneagram subClassOf irregular polygon, {9/4} enneagram subClassOf regular polygon, irregular polygon disjointWith regular polygon
{11/3} hendecagram subClassOf irregular polygon, {11/3} hendecagram subClassOf regular polygon, irregular polygon disjointWith regular polygon
{11/2} hendecagram subClassOf irregular polygon, {11/2} hendecagram subClassOf regular polygon, irregular polygon disjointWith regular polygon
{11/5} hendecagram subClassOf irregular polygon, {11/5} hendecagram subClassOf regular polygon, irregular polygon disjointWith regular polygon
{11/4} hendecagram subClassOf irregular polygon, {11/4} hendecagram subClassOf regular polygon, irregular polygon disjointWith regular polygon
{14/3} tetradecagram subClassOf irregular polygon, {14/3} tetradecagram subClassOf regular polygon, irregular polygon disjointWith regular polygon
{14/5} tetradecagram subClassOf irregular polygon, {14/5} tetradecagram subClassOf regular polygon, irregular polygon disjointWith regular polygon
Black Star of Africa subClassOf irregular polygon, Black Star of Africa subClassOf regular polygon, irregular polygon disjointWith regular polygon
Druze star subClassOf irregular polygon, Druze star subClassOf regular polygon, irregular polygon disjointWith regular polygon
adopted child of biological father subClassOf biological sibling, adopted child of biological father subClassOf adopted child of biological parent, biological sibling disjointWith adopted child of biological parent
adopted child of biological mother and father subClassOf biological sibling, adopted child of biological mother and father subClassOf adopted child of biological parent, biological sibling disjointWith adopted child of biological parent
Moon in fiction subClassOf real location in a fiction work, Moon in fiction subClassOf fictional location, real location in a fiction work disjointWith fictional location
royal consort of Castile and León subClassOf wife, royal consort of Castile and León subClassOf husband, wife disjointWith husband
royal consort of Pamplona subClassOf wife, royal consort of Pamplona subClassOf husband, wife disjointWith husband
royal consort of Castile subClassOf wife, royal consort of Castile subClassOf husband, wife disjointWith husband
King of Castile and León (Iure uxoris) subClassOf wife, King of Castile and León (Iure uxoris) subClassOf husband, wife disjointWith husband
King of Navarre (Iure uxoris) subClassOf wife, King of Navarre (Iure uxoris) subClassOf husband, wife disjointWith husband
King of Castile (Iure uxoris) subClassOf wife, King of Castile (Iure uxoris) subClassOf husband, wife disjointWith husband
chromosomal son subClassOf genetic son, chromosomal son subClassOf chromosomal child, genetic son disjointWith chromosomal child
milk brother subClassOf non-biological brother, milk brother subClassOf biological brother, non-biological brother disjointWith biological brother
JPEG File Interchange Format (JFIF), version 1.0 subClassOf JPEG File Interchange Format, JPEG File Interchange Format (JFIF), version 1.0 subClassOf JPEG, JPEG File Interchange Format disjointWith JPEG
individual ethnic group subClassOf individual entity, individual ethnic group subClassOf collective entity, individual entity disjointWith collective entity
L-threonine zwitterion subClassOf anion, L-threonine zwitterion subClassOf cation, anion disjointWith cation
allo-D-threonine subClassOf anion, allo-D-threonine subClassOf cation, anion disjointWith cation
L-threonine subClassOf anion, L-threonine subClassOf cation, anion disjointWith cation
allo-L-threonine subClassOf anion, allo-L-threonine subClassOf cation, anion disjointWith cation
2-amino-3-hydroxybutanoic acid subClassOf anion, 2-amino-3-hydroxybutanoic acid subClassOf cation, anion disjointWith cation
L-(1-¹³C)Threonine subClassOf anion, L-(1-¹³C)Threonine subClassOf cation, anion disjointWith cation
D-threonine subClassOf anion, D-threonine subClassOf cation, anion disjointWith cation
Tellurium chloride pentafluoride subClassOf chloride, Tellurium chloride pentafluoride subClassOf fluoride, chloride disjointWith fluoride
biological child of adoptive mother and father subClassOf biological child of adoptive father, biological child of adoptive mother and father subClassOf biological child of adoptive mother, biological child of adoptive father disjointWith biological child of adoptive mother
non-binary bisexual subClassOf LGBTQ person, non-binary bisexual subClassOf LGBTQ people, LGBTQ person disjointWith LGBTQ people
FtX subClassOf LGBTQ person, FtX subClassOf LGBTQ people, LGBTQ person disjointWith LGBTQ people
MtX subClassOf LGBTQ person, MtX subClassOf LGBTQ people, LGBTQ person disjointWith LGBTQ people
non-binary woman subClassOf LGBTQ person, non-binary woman subClassOf LGBTQ people, LGBTQ person disjointWith LGBTQ people
non-binary man subClassOf LGBTQ person, non-binary man subClassOf LGBTQ people, LGBTQ person disjointWith LGBTQ people
demiboy subClassOf LGBTQ person, demiboy subClassOf LGBTQ people, LGBTQ person disjointWith LGBTQ people
demigirl subClassOf LGBTQ person, demigirl subClassOf LGBTQ people, LGBTQ person disjointWith LGBTQ people
girlflux subClassOf LGBTQ person, girlflux subClassOf LGBTQ people, LGBTQ person disjointWith LGBTQ people
boyflux subClassOf LGBTQ person, boyflux subClassOf LGBTQ people, LGBTQ person disjointWith LGBTQ people
